Variation,rotor_angle,Torque1.Torque: None,Matrix1.L(Winding1 Winding1): None
1,0deg,0.0073179697NewtonMeter,51675723nH
2,5deg,-0.056728958NewtonMeter,50859876nH
3,10deg,-0.080164494NewtonMeter,49014999nH
4,15deg,-0.089831539NewtonMeter,46892181nH
5,20deg,-0.094283258NewtonMeter,44671087nH
6,25deg,-0.096652084NewtonMeter,42410664nH
7,30deg,-0.098973776NewtonMeter,40130054nH
8,35deg,-0.10082626NewtonMeter,37835041nH
9,40deg,-0.10093184NewtonMeter,35529942nH
10,45deg,-0.099273919NewtonMeter,33215536nH
11,50deg,-0.098479884NewtonMeter,30892867nH
12,55deg,-0.097357132NewtonMeter,28562845nH
13,60deg,-0.094547035NewtonMeter,26226049nH
14,65deg,-0.091655092NewtonMeter,23891055nH
15,70deg,-0.088079613NewtonMeter,21545901nH
16,75deg,-0.078692472NewtonMeter,19224594nH
17,80deg,-0.029932463NewtonMeter,17671268nH
18,85deg,-0.0079938235NewtonMeter,17109313nH
19,90deg,0.003453035NewtonMeter,16965546nH
20,95deg,0.015200599NewtonMeter,17110104nH
21,100deg,0.03768966NewtonMeter,17676301nH
22,105deg,0.08692482NewtonMeter,19223865nH
23,110deg,0.093574987NewtonMeter,21543639nH
24,115deg,0.094668745NewtonMeter,23889502nH
25,120deg,0.096816573NewtonMeter,26231806nH
26,125deg,0.098050211NewtonMeter,28559880nH
27,130deg,0.10071538NewtonMeter,30890044nH
28,135deg,0.10132435NewtonMeter,33213618nH
29,140deg,0.10236196NewtonMeter,35527892nH
30,145deg,0.10311495NewtonMeter,37833110nH
31,150deg,0.10362218NewtonMeter,40127889nH
32,155deg,0.1033599NewtonMeter,42408926nH
33,160deg,0.10213623NewtonMeter,44668745nH
34,165deg,0.099279563NewtonMeter,46889276nH
35,170deg,0.091775812NewtonMeter,49012903nH
36,175deg,0.069739495NewtonMeter,50854099nH
37,180deg,0.0074772815NewtonMeter,51675644nH
38,185deg,-0.055639268NewtonMeter,50860424nH
39,190deg,-0.079280774NewtonMeter,49016613nH
40,195deg,-0.089864116NewtonMeter,46892090nH
41,200deg,-0.094327622NewtonMeter,44671423nH
42,205deg,-0.096734852NewtonMeter,42410685nH
43,210deg,-0.099216042NewtonMeter,40129562nH
44,215deg,-0.10057595NewtonMeter,37834677nH
45,220deg,-0.10094062NewtonMeter,35530011nH
46,225deg,-0.099493709NewtonMeter,33215277nH
47,230deg,-0.099003754NewtonMeter,30892975nH
48,235deg,-0.096896297NewtonMeter,28562327nH
49,240deg,-0.094772184NewtonMeter,26226077nH
50,245deg,-0.091655965NewtonMeter,23891056nH
51,250deg,-0.088008169NewtonMeter,21545809nH
52,255deg,-0.078968717NewtonMeter,19224407nH
53,260deg,-0.02987836NewtonMeter,17671191nH
54,265deg,-0.0079801839NewtonMeter,17109370nH
55,270deg,0.003458232NewtonMeter,16965370nH
56,275deg,0.015195789NewtonMeter,17110130nH
57,280deg,0.037846804NewtonMeter,17677601nH
58,285deg,0.08691116NewtonMeter,19223866nH
59,290deg,0.093560162NewtonMeter,21543619nH
60,295deg,0.095021718NewtonMeter,23889707nH
61,300deg,0.096860572NewtonMeter,26231887nH
62,305deg,0.098365274NewtonMeter,28568535nH
63,310deg,0.10043682NewtonMeter,30890180nH
64,315deg,0.10010687NewtonMeter,33213104nH
65,320deg,0.10235464NewtonMeter,35527897nH
66,325deg,0.10292674NewtonMeter,37833403nH
67,330deg,0.10362164NewtonMeter,40127887nH
68,335deg,0.10330512NewtonMeter,42408881nH
69,340deg,0.10225052NewtonMeter,44668811nH
70,345deg,0.099047973NewtonMeter,46889291nH
71,350deg,0.09170164NewtonMeter,49012763nH
72,355deg,0.069318085NewtonMeter,50853783nH
73,360deg,0.0073179697NewtonMeter,51675723nH
