Variation,rotor_angle,Torque1.Torque: None,Matrix1.L(Winding1 Winding1): None
1,0deg,0.0091317939NewtonMeter,44239257nH
2,5deg,-0.037954216NewtonMeter,43728418nH
3,10deg,-0.05720885NewtonMeter,42480918nH
4,15deg,-0.065789532NewtonMeter,40982018nH
5,20deg,-0.07049222NewtonMeter,39350526nH
6,25deg,-0.073425105NewtonMeter,37630848nH
7,30deg,-0.076134573NewtonMeter,35845274nH
8,35deg,-0.077533076NewtonMeter,34005918nH
9,40deg,-0.078857143NewtonMeter,32125339nH
10,45deg,-0.078136577NewtonMeter,30207252nH
11,50deg,-0.078145896NewtonMeter,28256178nH
12,55deg,-0.077989339NewtonMeter,26275665nH
13,60deg,-0.076540777NewtonMeter,24268193nH
14,65deg,-0.075592504NewtonMeter,22239092nH
15,70deg,-0.073533632NewtonMeter,20181889nH
16,75deg,-0.065919595NewtonMeter,18147141nH
17,80deg,-0.025768997NewtonMeter,16821204nH
18,85deg,-0.0066915027NewtonMeter,16318601nH
19,90deg,0.0034195077NewtonMeter,16188288nH
20,95deg,0.013815595NewtonMeter,16319110nH
21,100deg,0.033440129NewtonMeter,16824567nH
22,105deg,0.074580566NewtonMeter,18147260nH
23,110deg,0.080663825NewtonMeter,20181924nH
24,115deg,0.080635976NewtonMeter,22239141nH
25,120deg,0.081543519NewtonMeter,24272091nH
26,125deg,0.081750527NewtonMeter,26276059nH
27,130deg,0.08276783NewtonMeter,28260359nH
28,135deg,0.083229823NewtonMeter,30208296nH
29,140deg,0.083650039NewtonMeter,32126334nH
30,145deg,0.083927706NewtonMeter,34007646nH
31,150deg,0.083785875NewtonMeter,35851778nH
32,155deg,0.083609291NewtonMeter,37637983nH
33,160deg,0.081795124NewtonMeter,39357508nH
34,165deg,0.078772294NewtonMeter,40983209nH
35,170deg,0.0719266NewtonMeter,42482596nH
36,175deg,0.054898656NewtonMeter,43728400nH
37,180deg,0.0092075924NewtonMeter,44239276nH
38,185deg,-0.037546643NewtonMeter,43728295nH
39,190deg,-0.056593671NewtonMeter,42482013nH
40,195deg,-0.065812128NewtonMeter,40981961nH
41,200deg,-0.070392396NewtonMeter,39350464nH
42,205deg,-0.073492306NewtonMeter,37630864nH
43,210deg,-0.076324544NewtonMeter,35844895nH
44,215deg,-0.07812585NewtonMeter,34005891nH
45,220deg,-0.078863793NewtonMeter,32125392nH
46,225deg,-0.078480407NewtonMeter,30206667nH
47,230deg,-0.078577381NewtonMeter,28256267nH
48,235deg,-0.077604931NewtonMeter,26275237nH
49,240deg,-0.076735893NewtonMeter,24268223nH
50,245deg,-0.075591764NewtonMeter,22239093nH
51,250deg,-0.073461736NewtonMeter,20181828nH
52,255deg,-0.066144985NewtonMeter,18147138nH
53,260deg,-0.025691072NewtonMeter,16821224nH
54,265deg,-0.0067000656NewtonMeter,16318607nH
55,270deg,0.0034190807NewtonMeter,16187965nH
56,275deg,0.013813038NewtonMeter,16319156nH
57,280deg,0.033478292NewtonMeter,16824410nH
58,285deg,0.074570321NewtonMeter,18147271nH
59,290deg,0.080652673NewtonMeter,20181907nH
60,295deg,0.080917528NewtonMeter,22239308nH
61,300deg,0.081589371NewtonMeter,24272170nH
62,305deg,0.081799742NewtonMeter,26275700nH
63,310deg,0.082605914NewtonMeter,28260356nH
64,315deg,0.082243706NewtonMeter,30207868nH
65,320deg,0.083672951NewtonMeter,32126331nH
66,325deg,0.083781616NewtonMeter,34007875nH
67,330deg,0.083785374NewtonMeter,35851780nH
68,335deg,0.083465209NewtonMeter,37638007nH
69,340deg,0.081559221NewtonMeter,39357554nH
70,345deg,0.078594481NewtonMeter,40983216nH
71,350deg,0.071877886NewtonMeter,42482511nH
72,355deg,0.054507058NewtonMeter,43728398nH
73,360deg,0.0091317939NewtonMeter,44239257nH
