"H (A_per_meter)" 	"B (tesla)"
0 	0
238.69999999999999 	0.20030000000000001
318.30000000000001 	0.32040000000000002
358.10000000000002 	0.40044999999999997
437.69999999999999 	0.50055000000000005
477.5 	0.56059999999999999
636.60000000000002 	0.79079999999999995
795.79999999999995 	0.93100000000000005
1114.0999999999999 	1.1013999999999999
1273.2 	1.2016
1591.5 	1.302
2228.1999999999998 	1.4028
3183.0999999999999 	1.524
4774.6000000000004 	1.6259999999999999
6366.1999999999998 	1.698
7957.6999999999998 	1.73
15915.5 	1.8700000000000001
31831 	1.99
47746.5 	2.04
63662 	2.0699999999999998
79577.5 	2.0950000000000002
159155 	2.2000000000000002
318310 	2.3999999999999999
