"rotor_angle [deg]","stator_angle [deg]","Bx_probe []","By_probe []"
0,0,-0.960572311021386,0.481846849732194
1,0,-0.958491222709846,0.481503427065532
2,0,-0.955751055798014,0.480883849669446
3,0,-0.952255867080202,0.480007936700919
4,0,-0.947906118009478,0.478850954379028
5,0,-0.942533162059343,0.477391853989954
6,0,-0.935844680876196,0.475571685762454
7,0,-0.927379991274424,0.473282169166318
8,0,-0.916532429893934,0.470396139149751
9,0,-0.902514239416497,0.466783495915918
10,0,-0.884189012378889,0.46226765690291
11,0,-0.859788985654065,0.456601018871583
12,0,-0.826537499466934,0.449505905417276
13,0,-0.779916740823559,0.440660777016395
14,0,-0.712162676080885,0.429826759252
15,0,-0.609394537388734,0.416436077434393
16,0,-0.447913364540565,0.392758274733216
17,0,-0.232258189450041,0.306500413756835
18,0,-0.095946648094105,0.172341956821062
19,0,-0.0300300532149969,0.0975325375886315
20,0,0.0332198729508346,0.0679903630762052
21,0,0.141663829680772,0.0623357764467265
22,0,0.344220456726356,0.0264950046921497
23,0,0.54018091040426,-0.0983003956129863
24,0,0.656798682377934,-0.20875959144275
25,0,0.73219852037592,-0.28121952203965
26,0,0.785187096951936,-0.329910827031803
27,0,0.824803835197075,-0.364772591229504
28,0,0.855402208477959,-0.390944023410964
29,0,0.879479948417737,-0.411192070624439
30,0,0.898632447260002,-0.427112327765017
31,0,0.913978408491932,-0.439758834425242
32,0,0.926264459896596,-0.449813432372831
33,0,0.935976014976661,-0.457707274249349
34,0,0.943516168433955,-0.463785929174858
35,0,0.949290881429138,-0.468422143452807
36,0,0.953697829955712,-0.471986542592609
37,0,0.957062626756627,-0.474753086727313
38,0,0.959615985494462,-0.476933877547211
39,0,0.961493193430574,-0.478633827665674
40,0,0.962755817656595,-0.479922703766099
41,0,0.963411854440078,-0.480876257339306
42,0,0.963499003264758,-0.481494731032153
43,0,0.963039104121034,-0.481859507290384
44,0,0.962062612595349,-0.481965044285758
45,0,0.96056459476292,-0.481838830163199
46,0,0.958487779925635,-0.481496856115151
47,0,0.955743964003452,-0.480890017193125
48,0,0.952248703470624,-0.480003261159459
49,0,0.947909719955431,-0.478857089286529
50,0,0.942533162059343,-0.477391853989954
51,0,0.935845070795597,-0.47556820731621
52,0,0.927382830818042,-0.473281741005811
53,0,0.916534044625443,-0.470394185846376
54,0,0.902510970580384,-0.466781249834405
55,0,0.884179288521908,-0.462260283267404
56,0,0.859789940061106,-0.456600859548493
57,0,0.826540989534641,-0.449507052411717
58,0,0.779912821463357,-0.440656955779933
59,0,0.712160226456669,-0.429823708966263
60,0,0.609384837209257,-0.416428653990125
61,0,0.447898447337799,-0.39274277116535
62,0,0.232242429089636,-0.306504471310559
63,0,0.095946648094105,-0.172341956821062
64,0,0.0300291946300063,-0.0975271891045905
65,0,-0.0332180428829415,-0.0679777390534964
66,0,-0.141663829680772,-0.0623357764467265
67,0,-0.344321049976911,-0.0263868170992703
68,0,-0.540180863049252,0.098300495230511
69,0,-0.656863653866102,0.208709569108196
70,0,-0.732185751862732,0.281246382296301
71,0,-0.78518345641691,0.329929336806752
72,0,-0.824799000802927,0.364775082004397
73,0,-0.855401508780396,0.390939664702986
74,0,-0.879479248720174,0.41118771191646
75,0,-0.898638251756781,0.427115880164061
76,0,-0.913984642281207,0.439765061066307
77,0,-0.926280202191688,0.449837308665043
78,0,-0.935977835244174,0.457698019361875
79,0,-0.943518688399031,0.463781032995362
80,0,-0.949294280567595,0.468426916334916
81,0,-0.953699722030851,0.471987933418427
82,0,-0.957060801588924,0.474764026182405
83,0,-0.959615985494462,0.476933877547211
84,0,-0.961493772037842,0.478634429016825
85,0,-0.962754032900884,0.479921882824862
86,0,-0.963411100226292,0.480876732213533
87,0,-0.963496046594909,0.481505135480557
88,0,-0.963042339897242,0.481849619987547
89,0,-0.962068266842601,0.481961724440999
90,0,-0.960567244054401,0.481856092598479
