Variation,rotor_angle,rotor_torque.Torque: None
1,0deg,1.941114e-06NewtonMeter
2,1deg,-0.0014441957NewtonMeter
3,2deg,0.0022412679NewtonMeter
4,3deg,0.00040500131NewtonMeter
5,4deg,-0.0010987286NewtonMeter
6,5deg,0.0020114021NewtonMeter
7,6deg,0.0006037839NewtonMeter
8,7deg,-0.0013286304NewtonMeter
9,8deg,0.0018946713NewtonMeter
10,9deg,-6.9260657e-05NewtonMeter
11,10deg,-0.0017986129NewtonMeter
12,11deg,0.0014293717NewtonMeter
13,12deg,-0.00088155552NewtonMeter
14,13deg,-0.0019866053NewtonMeter
15,14deg,0.0018042003NewtonMeter
16,15deg,-0.00019436706NewtonMeter
17,16deg,-0.0018294594NewtonMeter
18,17deg,0.00198143NewtonMeter
19,18deg,0.00045513281NewtonMeter
20,19deg,-0.0013156105NewtonMeter
21,20deg,0.0017859402NewtonMeter
22,21deg,-8.8114497e-05NewtonMeter
23,22deg,-0.0014922141NewtonMeter
24,23deg,0.0017348859NewtonMeter
25,24deg,2.7289207e-05NewtonMeter
26,25deg,-0.0021351671NewtonMeter
27,26deg,0.0013387541NewtonMeter
28,27deg,-0.00066696724NewtonMeter
29,28deg,-0.0019346104NewtonMeter
30,29deg,0.0015353472NewtonMeter
31,30deg,-7.829815e-05NewtonMeter
32,31deg,-0.0016144879NewtonMeter
33,32deg,0.0018286547NewtonMeter
34,33deg,6.5196793e-05NewtonMeter
35,34deg,-0.0016010616NewtonMeter
36,35deg,0.0018288296NewtonMeter
37,36deg,0.00044026926NewtonMeter
38,37deg,-0.0014810103NewtonMeter
39,38deg,0.0018488063NewtonMeter
40,39deg,4.0592676e-05NewtonMeter
41,40deg,-0.0018396177NewtonMeter
42,41deg,0.0015132867NewtonMeter
43,42deg,-0.00036857446NewtonMeter
44,43deg,-0.0017690206NewtonMeter
45,44deg,0.0015440023NewtonMeter
46,45deg,-0.00010966501NewtonMeter
47,46deg,-0.0016883931NewtonMeter
48,47deg,0.0016369757NewtonMeter
49,48deg,0.00045276471NewtonMeter
50,49deg,-0.0012646172NewtonMeter
51,50deg,0.002018942NewtonMeter
52,51deg,0.00054369875NewtonMeter
53,52deg,-0.0012753683NewtonMeter
54,53deg,0.0018972751NewtonMeter
55,54deg,-8.3351276e-06NewtonMeter
56,55deg,-0.0017541982NewtonMeter
57,56deg,0.0013658913NewtonMeter
58,57deg,-0.00083682995NewtonMeter
59,58deg,-0.0018998694NewtonMeter
60,59deg,0.001324659NewtonMeter
61,60deg,-0.00011576497NewtonMeter
62,61deg,-0.001629751NewtonMeter
63,62deg,0.0019800283NewtonMeter
64,63deg,0.00042471573NewtonMeter
65,64deg,-0.0011963731NewtonMeter
66,65deg,0.0018113212NewtonMeter
67,66deg,-0.0001069047NewtonMeter
68,67deg,-0.0014762671NewtonMeter
69,68deg,0.0017682221NewtonMeter
70,69deg,5.6585293e-05NewtonMeter
71,70deg,-0.0020631566NewtonMeter
72,71deg,0.0013554114NewtonMeter
73,72deg,-0.00076728167NewtonMeter
74,73deg,-0.0018413557NewtonMeter
75,74deg,0.0017362968NewtonMeter
76,75deg,-0.0001624598NewtonMeter
77,76deg,-0.0014584348NewtonMeter
78,77deg,0.0016141768NewtonMeter
79,78deg,3.5487031e-05NewtonMeter
80,79deg,-0.0012920482NewtonMeter
81,80deg,0.001869656NewtonMeter
82,81deg,-8.1858881e-05NewtonMeter
83,82deg,-0.0014493675NewtonMeter
84,83deg,0.0017098644NewtonMeter
85,84deg,6.4771909e-05NewtonMeter
86,85deg,-0.0017715057NewtonMeter
87,86deg,0.0013738825NewtonMeter
88,87deg,-0.00048693213NewtonMeter
89,88deg,-0.0018438667NewtonMeter
90,89deg,0.0017689083NewtonMeter
91,90deg,-0.00016759482NewtonMeter
